"Marca temporal","Walmart","Chedraui","Costo","Tiendas 3B","Soriana","Tiendas Oxxo","El mercado (mercado hidalgo, central de abastos, etc)","La tienda de conveniencia","Bodega Aurrera","Gran Bodega"
"2026/03/24 9:38:03 a. m. GMT-6","5","5","5","0 (nunca he ido)","5","3","0 (nunca he ido)","0 (nunca he ido)","3","0 (nunca he ido)"
"2026/03/24 9:40:19 a. m. GMT-6","5","4","0 (nunca he ido)","5","3","4","5","4","4","4"
"2026/03/24 12:00:48 p. m. GMT-6","2","3","0 (nunca he ido)","5","3","1","4","1","2","3"
"2026/03/24 1:18:30 p. m. GMT-6","5","2","0 (nunca he ido)","2","3","3","5","2","3","1"
"2026/03/24 1:19:51 p. m. GMT-6","3","4","0 (nunca he ido)","5","4","1","1","3","5","5"
"2026/03/24 3:03:27 p. m. GMT-6","5","4","0 (nunca he ido)","4","3","3","3","4","4","4"
"2026/03/24 4:30:12 p. m. GMT-6","1","2","0 (nunca he ido)","3","3","3","4","4","4","4"
"2026/03/24 7:34:24 p. m. GMT-6","4","1","0 (nunca he ido)","1","1","3","1","3","5","2"
"2026/03/24 8:06:05 p. m. GMT-6","4","2","3","4","0 (nunca he ido)","4","5","5","5","2"
"2026/03/24 8:54:03 p. m. GMT-6","3","0 (nunca he ido)","0 (nunca he ido)","4","1","3","4","2","2","5"
"2026/03/25 4:19:37 p. m. GMT-6","5","4","4","0 (nunca he ido)","0 (nunca he ido)","2","0 (nunca he ido)","3","3","0 (nunca he ido)"